ID	特徴がある	明るい	伝統的な	印象的な	動的な	開放的	やわらかい	美しい	魅力感がある	整然とした	自然な	暖かい	直線的な	軽快な	変化のある	規則的な	調和している	威圧感のある	立体感のある	雰囲気のある	広い	明度平均	水平
sample1.JPG	4.21	3.26	5.32	4.49	4.91	3.47	3.79	3.53	3.83	3.19	5.38	3.72	3.28	3.43	4.62	2.77	2.94	4.77	3.32	3.6	3.23	139.1125514	0.815437175
sample2.JPG	3.21	3.4	5.81	3.62	3.02	3.72	4.62	3.81	3.45	4.32	5.06	4.28	2.96	4	3.62	4.13	3.85	3.96	2.87	3.3	3.77	110.7256173	0.766867565
sample3.JPG	3.19	3.74	3.17	3.57	3.4	4.38	4	4.25	3.53	4.55	5.53	3.62	3.7	3.98	4.36	3.53	3.19	3.92	2.89	3.02	4.43	97.84949351	0.764332856
sample4.JPG	3.08	2	5.25	2.79	4.4	1.42	3.23	2.21	2.57	2.26	3.3	3.72	2.23	2.21	4.72	2.92	2.4	5.79	5.08	2.83	1.45	135.7887781	0.875181948
sample5.JPG	2.25	2.13	6.13	2.26	3.75	2.3	4.45	2.6	2.68	2.91	5.98	3.87	4.32	3.57	3.11	3.77	3.23	4.06	2.38	2.92	2.02	141.7192387	0.833311938
sample6.JPG	4.87	2.85	4.92	4.94	4.66	2.51	4.09	3.96	4.75	3.53	3.98	4.06	4.43	3.36	4.81	3.64	4.08	4.62	4.08	4.53	2.68	117.7666429	0.817435443
sample7.JPG	4.68	6.13	5.94	4.96	4.83	5.77	5.81	5.7	5.45	5.25	6.09	5.87	2.25	5.49	4.42	4.3	4.96	2.38	3.21	5.21	6.17	88.59885248	0.782979063
sample8.JPG	1.92	2.49	1.64	2.02	4.19	2.26	2.6	1.87	1.7	2.7	2.75	2.68	3.23	3.4	3.45	2.87	1.96	5.34	2.96	1.91	2.28	134.9216287	0.829790259
sample9.JPG	4.3	3.02	6.02	4.36	4.94	3.25	5.4	4.38	4.68	3.28	5.79	5.06	2.4	4.34	4.66	3.32	4.08	4.06	3.4	4.38	3.25	125.2257993	0.866905682
sample10.JPG	3.92	4.34	4.77	4.19	4.45	4.38	4.51	4.23	4.25	4.15	4.6	4.09	3.96	3.91	4.17	4.04	3.92	3.94	3.02	4.04	4.94	118.9321542	0.799569958
sample11.JPG	5.06	3.02	4.17	4.96	5.36	2.55	4.11	4.4	4.85	3.81	3.32	4.49	2	3.13	5.58	2.49	4	4.66	4.6	4.7	2.53	138.6711301	0.850300961
sample12.JPG	3.6	2.57	5.53	3.51	4.08	3.08	4.43	3.4	3.3	3.08	5.32	3.43	2.49	3.49	4.15	2.66	3.21	4.06	2.72	3.02	2.96	126.6652105	0.832234218
sample13.JPG	3.26	2.6	6.45	3.3	4.91	2.58	5.55	3.23	3.57	2.77	6.45	4.85	1.98	4.6	4.79	3.45	3.11	3.49	2.87	4	2.32	133.5770576	0.838821809
sample14.JPG	5.17	5.94	5.13	5.34	5.43	6.17	5.81	5.53	5.13	4.96	5.96	5.64	3.64	5.15	4.87	4.4	4.87	2.23	3.49	5.04	6.6	131.6161285	0.72949594
sample15.JPG	5.08	5.23	5.81	5.23	5.32	5.47	5.51	5.32	5.38	4.3	5.74	5.42	2.57	5.25	5	3.7	4.55	2.85	3.36	5.08	5.7	120.5814577	0.818981482
sample16.JPG	4.83	3.02	4.28	4.75	5.06	3.38	3.68	4.13	4.51	3.85	4.17	3.43	2.57	3.34	4.57	3.89	3.58	5.3	3.72	3.94	3.3	140.5952754	0.910020039
sample17.JPG	4.66	3.6	5.89	4.62	5.08	4	5.23	4.58	4.66	3.02	5.94	4.34	2.51	4.94	5	2.98	3.79	2.75	3	4.49	3.89	133.7855097	0.873091058
